id,pred_raw,subject,subcategory,error
generation-for-nlp-425,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-426,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-427,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-428,국어 | 문학,국어,문학,
generation-for-nlp-429,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-431,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-432,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-433,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-434,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-435,국어 | 문학,국어,문학,
generation-for-nlp-436,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-437,국어 | 독서,국어,독서,
generation-for-nlp-439,국어 | 문학,국어,문학,
generation-for-nlp-440,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-441,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-443,국어 | 문학,국어,문학,
generation-for-nlp-445,국어 | 문학,국어,문학,
generation-for-nlp-446,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-447,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-448,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-449,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-450,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-451,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-452,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-453,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-454,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-455,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-456,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-457,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-459,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-460,국어 | 문학,국어,문학,
generation-for-nlp-461,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-463,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-464,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-465,사회탐구 | 동아시아사,사회탐구,동아시아사,
