id,pred_raw,subject,subcategory,error
generation-for-nlp-3000,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3001,사회탐구 | 사회·문화,사회탐구,사회·문화,
generation-for-nlp-3002,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3003,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3006,국어 | 독서,국어,독서,
generation-for-nlp-3007,국어 | 독서,국어,독서,
generation-for-nlp-3008,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-3009,국어 | 독서,국어,독서,
generation-for-nlp-3010,국어 | 독서,국어,독서,
generation-for-nlp-3011,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3012,사회탐구 | 생활과 윤리,사회탐구,생활과 윤리,
generation-for-nlp-3014,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3015,국어 | 문학,국어,문학,
generation-for-nlp-3016,국어 | 문학,국어,문학,
generation-for-nlp-3017,국어 | 문학,국어,문학,
generation-for-nlp-3018,국어 | 문학,국어,문학,
generation-for-nlp-3019,국어 | 문학,국어,문학,
generation-for-nlp-3020,국어 | 문학,국어,문학,
generation-for-nlp-3021,국어 | 문학,국어,문학,
generation-for-nlp-3023,국어 | 문학,국어,문학,
generation-for-nlp-3024,국어 | 문학,국어,문학,
generation-for-nlp-3026,국어 | 문학,국어,문학,
generation-for-nlp-3027,국어 | 문학,국어,문학,
generation-for-nlp-3028,국어 | 문학,국어,문학,
generation-for-nlp-3029,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3030,국어 | 문학,국어,문학,
generation-for-nlp-3031,국어 | 문학,국어,문학,
generation-for-nlp-3032,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3033,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3034,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3035,국어 | 언어와 매체,국어,언어와 매체,
generation-for-nlp-3036,국어 | 독서,국어,독서,
generation-for-nlp-3037,국어 | 문학,국어,문학,
generation-for-nlp-3038,국어 | 문학,국어,문학,
generation-for-nlp-3039,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3040,국어 | 문학,국어,문학,
generation-for-nlp-3041,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3042,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3043,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3044,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3045,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3046,국어 | 문학,국어,문학,
generation-for-nlp-3047,국어 | 독서,국어,독서,
generation-for-nlp-3048,국어 | 문학,국어,문학,
generation-for-nlp-3049,국어 | 독서,국어,독서,
generation-for-nlp-3050,국어 | 문학,국어,문학,
generation-for-nlp-3051,국어 | 문학,국어,문학,
generation-for-nlp-3052,사회탐구 | 정치와 법,사회탐구,정치와 법,
generation-for-nlp-3053,국어 | 문학,국어,문학,
generation-for-nlp-3054,국어 | 문학,국어,문학,
generation-for-nlp-3055,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-3056,국어 | 문학,국어,문학,
generation-for-nlp-3057,국어 | 문학,국어,문학,
generation-for-nlp-3058,사회탐구 | 세계사,사회탐구,세계사,
generation-for-nlp-3059,국어 | 문학,국어,문학,
generation-for-nlp-3060,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3061,국어 | 화법과 작문,국어,화법과 작문,
generation-for-nlp-3062,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3086,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3087,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3088,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3089,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3090,정치와 법 |,정치와 법,,
generation-for-nlp-3091,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3092,윤리와 사상 |,윤리와 사상,,
generation-for-nlp-3093,정치와 법 |,정치와 법,,
generation-for-nlp-3094,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3095,정치와 법 | 윤리와 사상,정치와 법,윤리와 사상,
generation-for-nlp-3096,정치와 법 | 윤리와 사상,정치와 법,윤리와 사상,
generation-for-nlp-3097,정치와 법 |,정치와 법,,
generation-for-nlp-3098,정치와 법 | 윤리와 사상,정치와 법,윤리와 사상,
generation-for-nlp-3099,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3100,정치와 법 |,정치와 법,,
generation-for-nlp-3101,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3102,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3103,정치와 법 |,정치와 법,,
generation-for-nlp-3104,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3105,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3106,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3107,사회탐구 | 윤리와 사상,사회탐구,윤리와 사상,
generation-for-nlp-3108,정치와 법 |,정치와 법,,
generation-for-nlp-3109,정치와 법,,,
generation-for-nlp-3110,정치와 법 | 헌법,정치와 법,헌법,
generation-for-nlp-3131,경제 | GDP,경제,GDP,
generation-for-nlp-3132,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3133,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3134,경제 | 비교우위,경제,비교우위,
generation-for-nlp-3135,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3136,경제 | 저량변수,경제,저량변수,
generation-for-nlp-3137,사회탐구 | 경제,사회탐구,경제,
generation-for-nlp-3138,경제 | 독점 시장의 가격과 생산량 계산,경제,독점 시장의 가격과 생산량 계산,
generation-for-nlp-3139,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3140,사회탐구,,,
generation-for-nlp-3141,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3142,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3143,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3144,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3145,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3146,정치와 법 |,정치와 법,,
generation-for-nlp-3147,사회탐구 | 동아시아사,사회탐구,동아시아사,
generation-for-nlp-3148,사회탐구 | 세계사,사회탐구,세계사,
